molecule_chembl_id,canonical_smiles,activity_comment
CHEMBL2203834,CCS(=O)(=O)Nc1ccc(-c2ccc(C#N)n2C)c(C(F)(F)F)c1,Non-toxic
CHEMBL2203836,CCS(=O)(=O)Nc1cc(F)c(-c2ccc(C#N)n2C)c(F)c1,Non-toxic
CHEMBL2203833,Cn1c(C#N)ccc1-c1ccc(NS(C)(=O)=O)cc1F,Non-toxic
CHEMBL2203821,CCS(=O)(=O)Nc1ccc(-c2ccc(C#N)n2C)cc1,Non-toxic
CHEMBL2204663,CCn1cc2c(Oc3cnc(C(=O)N4CCC4)c(F)c3)cc(C(=O)Nc3cnc(C)cn3)cc2n1,Non-toxic
CHEMBL2207689,COc1cc(-c2nn(C(C)C)cc2-c2ccnc(NC[C@H](C)O)n2)c(C)nc1N,Toxic
CHEMBL2207688,COc1cc(-c2nn(C(C)C)cc2-c2ccnc(NC[C@H](C)O)n2)cnc1N,Non-toxic
CHEMBL2207359,O=C(Nc1ccn2ccnc2n1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207358,O=C(Nc1ccnc2nccn12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207357,O=C(Nc1cc2nccn2cn1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2203328,O=C(Nc1cnc2cccnn12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207356,O=C(Nc1cccc2nccn12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207355,O=C(Nc1ccc2nccn2c1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207354,O=C(Nc1ccn2ccnc2c1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Toxic
CHEMBL2207353,O=C(Nc1cccn2ccnc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207352,O=C(Nc1cn2ccccc2n1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207351,O=C(Nc1cnc2ccccn12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207350,O=C(Nc1noc2cccnc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207349,O=C(Nc1noc2ccncc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207348,O=C(Nc1noc2cnccc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207347,O=C(Nc1noc2ncccc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207346,O=C(Nc1noc2ccccc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207345,O=C(Nc1cnc2cc[nH]c2c1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Toxic
CHEMBL2207344,O=C(Nc1cnc2[nH]ccc2c1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Toxic
CHEMBL2207343,O=C(Nc1cncc2ccccc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Toxic
CHEMBL2207342,Cc1nc2cc(NC(=O)N3CCN(Cc4cccc(Oc5ccc(Cl)cc5)c4)CC3)ccc2o1,Toxic
CHEMBL2207341,O=C(Nc1cccc2cn[nH]c12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Toxic
CHEMBL2207340,O=C(Nc1cccc2nsnc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207366,O=C(Nc1cccc2nonc12)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Toxic
CHEMBL2207365,O=C(Nc1nocc1Cl)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Toxic
CHEMBL2207364,O=C(Nc1ccon1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207363,O=C(Nc1nn[nH]n1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207362,O=C(Nc1cc[nH]n1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2164602,O=C(Nc1cccnc1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207361,O=C(Nc1cccnn1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2207360,O=C(Nc1cnccn1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2164596,O=C(Nc1ccccc1)N1CCN(Cc2cccc(Oc3ccc(Cl)cc3)c2)CC1,Non-toxic
CHEMBL2228155,CN/C(=N/CC1CCOC1)N[N+](=O)[O-],Non-toxic
CHEMBL2287230,CO/C=C(/C(=O)OC)c1ccccc1COc1cc(C(F)(F)F)nc(Nc2cccc(Cl)c2Cl)n1,Non-toxic
CHEMBL2312784,CCCCCCCCCC(CCCCCCCCC)CC(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](COC(=O)CC(CCCCCCCCC)CCCCCCCCC)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Non-toxic
CHEMBL2322875,COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3C)CC2)ccc1Cl,Non-toxic
CHEMBL2323021,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc([C@@](O)(C(N)=O)C(F)(F)F)s1,Non-toxic
CHEMBL2018969,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,Non-toxic
CHEMBL2336410,Cc1cc(C[C@@H](NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12.Cl,Non-toxic
CHEMBL2338343,CC(C)CCOc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@@H](C1CCOCC1)N2,Non-toxic
CHEMBL2349603,O=C(Nc1cccc(-c2cnco2)c1)N(CCC(c1ccccc1)c1ccccc1)CCN1CCOCC1,Non-toxic
CHEMBL2348361,CCC(O)(/C=C/c1ccc(C(CC)(CC)c2ccc(-c3ccc(CC(=O)O)cn3)c(C)c2)cc1C)CC,Non-toxic
CHEMBL2348780,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO,Non-toxic
CHEMBL2377735,O=C(Nc1nc2ccccc2s1)N(CCC(c1ccccc1)c1ccccc1)CCN1CCOCC1,Non-toxic
CHEMBL2380648,CC(C)(C)N1CCN(c2ccc(N3CCN(C(=O)N[C@H]4C5CC6CC4C[C@](C(N)=O)(C6)C5)c4ccccc43)nc2)CC1,Non-toxic
CHEMBL190,Cn1c(=O)c2nc[nH]c2n(C)c1=O,Non-toxic
CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,Non-toxic
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Non-toxic
CHEMBL3216810,COc1ccc2nc3cc(Cl)ccc3c(NCCCNCCCl)c2c1.Cl.Cl.Cl.Cl,Non-toxic
CHEMBL2386917,Cc1cccc2nc(Cn3cnc4ccccc43)cc(=O)n12,Non-toxic
CHEMBL2387002,CC(C)n1cc(C(=O)c2cccc(NC(=O)Nc3ccc(Cl)cc3)c2)c2c(N)ncnc21,Non-toxic
CHEMBL2403551,Cc1cc(N2CC[C@@H](N3CCC[C@H]3C)C2)ccc1NC(=O)c1cc(F)ccc1C,Non-toxic
CHEMBL2403550,Cc1cc(N2CC[C@H](N3CCC[C@@H]3C)C2)ccc1NC(=O)c1cc(F)ccc1C,Non-toxic
CHEMBL2403549,Cc1cc(N2CC[C@@H](N3CCC[C@@H]3C)C2)ccc1NC(=O)c1cc(F)ccc1C,Non-toxic
